claim_id,source_table,estimator,latex_macro,value,status,used_in
RQ1_SKILL_7D_PERSISTENCE,outputs/final/paired_effects.parquet,median_station_skill,SevenDaySkillPersistence,0.2496899406608487,RESOLVED,abstract;key_point_1;section_4_6;conclusions
RQ1_SKILL_7D_DAMPED,outputs/final/paired_effects.parquet,median_station_skill,SevenDaySkillDamped,0.03818980085109841,RESOLVED,abstract;key_point_1;section_4_6;conclusions
RQ1_MEMORY_GAIN_7D,outputs/final/decomposition_effects.parquet,median_station_g_memory,SevenDayMemoryGain,0.4910231375530185,RESOLVED,abstract;section_4_8;figure_3
RQ1_LEARNED_GAIN_7D,outputs/final/decomposition_effects.parquet,median_station_g_learned,SevenDayLearnedGain,0.06882021862046972,RESOLVED,abstract;section_4_8;figure_3
RQ1_ALL_KEYS_7D_DELTA,outputs/final/paired_effects.parquet,median_station_paired_delta_rmse,AllKeysSevenDayDelta,-0.06882021862046972,RESOLVED,section_4_8
RQ1_MEMORY_FRACTION_7D,outputs/final/decomposition_effects.parquet,median_station_memory_fraction,SevenDayMemoryFraction,0.8750984230230485,RESOLVED,section_4_8;figure_3
RQ1_STATION_COUNT_7D,outputs/final/station_metrics.parquet,reportable_station_count,NHeldoutStationsSevenDay,116,RESOLVED,abstract;section_4_6;figure_3
RQ1_STATION_COUNT_1D,outputs/final/station_metrics.parquet,reportable_station_count,NHeldoutStationsOneDay,116,RESOLVED,abstract;section_4_6
RQ1_STATION_COUNT_3D,outputs/final/station_metrics.parquet,reportable_station_count,NHeldoutStationsThreeDay,116,RESOLVED,abstract;section_4_6
RQ1_TR_7D_RMSE,outputs/final/station_metrics.parquet,median_station_rmse,SevenDayThermoRouteRMSE,1.6943056459406,RESOLVED,abstract;section_4_6
RQ2_TCN_7D_DELTA,outputs/final/paired_effects.parquet,median_station_paired_delta_rmse,SevenDayTCNMinusThermoRouteDelta,0.015436854852232229,RESOLVED,section_4_6
RQ2_LGBM_1D_RMSE,outputs/final/station_metrics.parquet,median_station_rmse,OneDayLightGBMRMSE,0.5891824395578037,RESOLVED,abstract;section_4_6
RQ2_LGBM_3D_RMSE,outputs/final/station_metrics.parquet,median_station_rmse,ThreeDayLightGBMRMSE,1.3036261307911041,RESOLVED,abstract;section_4_6
RQ2_TR_7D_VS_LGBM,outputs/final/paired_effects.parquet,median_station_paired_delta_rmse,SevenDayThermoRouteMinusLightGBM,-0.009148201111244036,RESOLVED,section_4_6;table_4_6
RQ3_REGION_PENALTY_3D,outputs/final/spatial_effects.parquet,median_station_region_minus_random_rmse,ThreeDayRegionPenalty,0.009001190747113919,RESOLVED,section_4_7
RQ3_DISTANCE_RANDOM_KM,outputs/final/spatial_effects.parquet,median_nearest_km,RandomNearestGaugeKm,59.92976224081903,RESOLVED,section_4_7
RQ3_DISTANCE_REGION_KM,outputs/final/spatial_effects.parquet,median_nearest_km,RegionNearestGaugeKm,262.88349860217136,RESOLVED,section_4_7
RQ4_HALFLIFE_MEDIAN,outputs/final/basin_attributes.parquet,median,HalfLifeMedianDays,6.922319890364137,RESOLVED,section_4_8;figure_6
RQ4_RAPID_WARMING_7D_DELTA,outputs/final/hydrologic_state_effects.parquet,median_station_state_delta_rmse,SevenDayRapidWarmingDelta,-0.30049621356747025,RESOLVED,section_4_8
RQ4_ISSUE_TREND_7D_DELTA,outputs/final/hydrologic_state_effects.parquet,median_station_state_delta_rmse,SevenDayIssueTrendDelta,-0.08780958871362779,RESOLVED,section_4_8
RQ2_FLOW_REMOVAL_1D_DELTA,outputs/final/flow_ablation_effects.parquet,median_station_flow_removal_delta,OneDayFlowRemovalDelta,0.04187217639323365,RESOLVED,section_4_5
RQ2_FLOW_REMOVAL_7D_DELTA,outputs/final/flow_ablation_effects.parquet,median_station_flow_removal_delta,SevenDayFlowRemovalDelta,0.008860809198603437,RESOLVED,section_4_5
A2S_RMSE_1D,outputs/final/air2stream_metrics.parquet,median_station_rmse,Air2streamOneDayRMSE,0.7186861732146198,RESOLVED,si07
A2S_RMSE_1D_UNFILTERED,outputs/final/air2stream_metrics.parquet,median_station_rmse,Air2streamOneDayRMSEUnfiltered,0.7186861732146198,RESOLVED,si07
A2S_RMSE_3D,outputs/final/air2stream_metrics.parquet,median_station_rmse,Air2streamThreeDayRMSE,1.458929765195455,RESOLVED,si07
A2S_RMSE_3D_UNFILTERED,outputs/final/air2stream_metrics.parquet,median_station_rmse,Air2streamThreeDayRMSEUnfiltered,1.4777684221385647,RESOLVED,si07
A2S_RMSE_7D,outputs/final/air2stream_metrics.parquet,median_station_rmse,Air2streamSevenDayRMSE,1.8254060116662103,RESOLVED,si07
A2S_RMSE_7D_UNFILTERED,outputs/final/air2stream_metrics.parquet,median_station_rmse,Air2streamSevenDayRMSEUnfiltered,1.8254060116662103,RESOLVED,si07
